Date,Close,yhat
7/26/2023,264.35,247.42
7/27/2023,255.71,246.86
7/28/2023,266.44,248.32
7/31/2023,267.43,251.18
8/1/2023,261.07,250.27
8/2/2023,254.11,251.22
8/3/2023,259.32,250.67
8/4/2023,253.86,252.12
8/7/2023,251.45,254.98
8/8/2023,249.7,254.07
8/9/2023,242.19,255.02
8/10/2023,245.34,254.47
8/11/2023,242.65,255.93
8/14/2023,239.76,258.79
8/15/2023,232.96,257.88
8/16/2023,225.6,258.83
8/17/2023,219.22,258.27
8/18/2023,215.49,259.73
8/21/2023,231.28,262.59
8/22/2023,233.19,261.68
8/23/2023,236.86,262.63
8/24/2023,230.04,262.08
8/25/2023,238.59,263.53
8/28/2023,238.82,266.40
8/29/2023,257.18,265.49
8/30/2023,256.9,266.43
8/31/2023,258.08,265.88
,,267.34
,,261.43
,,261.97
,,270.20
,,269.29
,,270.24
,,269.69
,,271.14
,,265.23
,,265.77
,,274.00
,,273.09
,,274.04
,,273.49
,,274.95
,,269.03
,,269.58
,,277.81
,,276.90
,,277.84
,,277.29
,,278.75
,,272.84
,,273.38
,,281.61
,,280.70
,,281.65
,,281.10
,,282.55
,,276.64
